ROR	parent	child	short_name	canonical_name	Ringgold_id	alt_name	alt_name2	ISNI	Orgref	VIAF	Wikidata	Grid	City	State	Country	URL
01p93h210		A00026	U South Austr	University of South Australia	1067	University of South Australia	SACAE Salisbury	0000000089945086				grid.1026.5	Adelaide	South Australia	Australia	
047s2c258		A00027	UMCP	University of Maryland, College Park	1068	University of Maryland at College Park	UM	0000000109417177				grid.164295.d	College Park	Maryland		
047s2c258	A00027	A00028	Dep Chem	University of Maryland, Department of Chemistry	223100	University of Maryland at College Park Department of Chemistry and Biochemistry		000000040497382X								
047s2c258	A00027	A00029	Dep Atm Oc Sci	University of Maryland, Department of Atmospheric and Oceanic Science	248497	University of Maryland at College Park Department of Atmospheric and Oceanic Science		0000000404632160								
047s2c258	A00027	A00030	Dep Phy	University of Maryland, Department of Physics	248530	University of Maryland at College Park Department of Physics		000000040463465X								
047s2c258	A00027	A00031	Dep Ast	University of Maryland, Department of Astronomy	248531	University of Maryland at College Park Department of Astronomy		0000000404634721								
047s2c258	A00027	A00032	IPST	Institute for Physical Science and Technology, UMD College Park	88968	University of Maryland at College Park Institute for Physical Science and Technology		0000000406196948								
047s2c258	A00027	A00036	JQI	Joint Quantum Institute, Maryland	338988											
047s2c258	A00027	A11045	CRESST	Center for Research and Exploration in Space Science & Technology	A1045											
05nc0nk71	A00027	A13058	CICS	Cooperative Institute for Climate and Satellites	A3058											
047s2c258	A00027	A13059	ESSIC	Earth System Science Interdisciplinary Center	A3059											
01r0c1p88		A00033	UMD	University System of Maryland	1069	University System of Maryland	UMBI	0000000403703414	290216	263272341	Q1480532	grid.410443.6	Adelphi	Maryland	United States	http://www.usmd.edu
		A00034	US DoE	U.S. Department of Energy	1074	US Department of Energy	Department of Energy	0000000404786514								
05v7gv656	A00034	A00035	FERC	Federal Energy Regulatory Commission	17199	Federal Energy Regulatory Commission	FERC	0000000404053230	56976	139250168	Q3067862	grid.431371.3	Washington D.C.	District of Columbia	United States	http://www.ferc.gov
036266993	A00034	A00038	NREL	National Renewable Energy Laboratory, Colorado	53405	National Renewable Energy Laboratory	National Wind Technology Center	0000000121993636	1711590	153668500	Q1856153	grid.419357.d	Golden	Colorado	United States	http://www.nrel.gov
