ROR		parent	child	short_name	canonical_name	Ringgold_id	long_name	URL	ISNI	Wikidata	Grid	?	City	State	Country
008rmbt77	A00041	A00046	Binghamton	SUNY Binghamton, New York	14787	Binghamton University	State University of New York at Binghamton	0000000121644508	275474	150626351	Q863813	grid.264260.4	Binghamton University	Binghamton
0306aeb62	A00041	A00047	Brockport	SUNY Brockport, New York	14788	SUNY Brockport	College at Brockport	0000000107259953				grid.264262.6	College at Brockport	Brockport
00tdmgj61	A00041	A00048	Canton	SUNY Canton, New York	14792	SUNY Canton	SUNY Canton College of Technology	0000000403877959				grid.430477.3	SUNY Canton	Canton
02sgpe757	A00041	A00049	Cobleskill	SUNY Cobleskill, New York	14795	SUNY Cobleskill	State University of New York Cobleskill College of Agriculture and Technology	0000000086068110	571020	124538649	Q7603621	grid.440998.8	SUNY Cobleskill	Cobleskill
00qv0tw17	A00041	A00050	Syracuse	SUNY Syracuse, New York	14797	SUNY College of Environmental Science and Forestry	State University of New York College of Environmental Science and Forestry at Syracuse	0000000403878708	523198	138341767	Q7603610	grid.264257.0	SUNY College of Environmental Science and Forestry	Syracuse
05a4pj207	A00041	A00051	Cortland	SUNY Cortland, New York	14800	SUNY Cortland	State University of New York College at Cortland	0000000093400716	527837		Q7603623	grid.264266.2	State University of New York College at Cortland	Cortland
017a2yz34	A00041	A00052	Delhi	SUNY Delhi, New York	14801	SUNY Delhi	SUNY College of Technology at Delhi	0000000403879268	571939		Q7603622	grid.422693.8	State University of New York at Delhi	Delhi
010thz337	A00041	A00053	Farmingdale	SUNY Farmingdale, New York	14805	Farmingdale State College	Agricultural and Technical College at Farmingdale	0000000103795927	571037	155126813	Q5435862	grid.422694.f	Farmingdale State College	Farmingdale
05vrs0r17	A00041	A00054	Fredonia	SUNY Fredonia, New York	14808	SUNY Fredonia	State University of New York Fredonia	0000000403880154	512318		Q6487738	grid.264268.c	SUNY Fredonia	Fredonia
03g1q6c06	A00041	A00055	Geneseo	SUNY Geneseo, New York	14811	SUNY Geneseo	State University of New York College at Geneseo	0000000101510940	512335		Q6149540	grid.264269.d	SUNY Geneseo	Geneseo
03j3dv688	A00041	A00056	New Paltz	SUNY New Paltz, New York	14821	SUNY New Paltz	State University of New York at New Paltz	0000000086114981	490964	124609976	Q7603625	grid.264270.5	State University of New York at New Paltz	New Paltz
